col1,name,RMS,peak_flux,PFerr,int_flux,IFerr,S/N,redshift_1,W1,W2,W3,W4,W5,W6,UNI_FLAG,MIZ2,FIRST,detection,Quadrant,D_Mpc,D_cm,LD_cm,L_rad,nu_obs_GHz,L_obs,L_1.4GHz,SFR (Msun/yr),L_2500,alpha_ro,TT0,TT1,alpha_MFS,S_2p5GHz,S_3p5GHz,alpha_inband,RAx,DECx,VOFF_CIV_PEAK_1,EW_CIV_1,PLATE_1,MJD_1,FIBER_1,SDSS_NAME,RA,DEC,REDSHIFT_2,PLATE_2,FIBER_2,MJD_2,TARGET_FLAG_TARGET,NSPECOBS,UNIFORM_TARGET,MI_Z2,LOGLBOL,LOGLBOL_ERR,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL5100,LOGL5100_ERR,LOGL3000,LOGL3000_ERR,LOGL1350,LOGL1350_ERR,LOGL_BROAD_HA,LOGL_BROAD_HA_ERR,FWHM_BROAD_HA,FWHM_BROAD_HA_ERR,EW_BROAD_HA,EW_BROAD_HA_ERR,LOGL_NARROW_HA,LOGL_NARROW_HA_ERR,FWHM_NARROW_HA,FWHM_NARROW_HA_ERR,EW_NARROW_HA,EW_NARROW_HA_ERR,LOGL_NII_6585,LOGL_NII_6585_ERR,EW_NII_6585,EW_NII_6585_ERR,LOGL_SII_6718,LOGL_SII_6718_ERR,EW_SII_6718,EW_SII_6718_ERR,LOGL_SII_6732,LOGL_SII_6732_ERR,EW_SII_6732,EW_SII_6732_ERR,EW_FE_HA,EW_FE_HA_ERR,ALPHA_HA,ALPHA_HA_ERR,LINE_NPIX_HA,LINE_MED_SN_HA,LINE_REDCHI2_HA,LOGL_BROAD_HB,LOGL_BROAD_HB_ERR,FWHM_BROAD_HB,FWHM_BROAD_HB_ERR,EW_BROAD_HB,EW_BROAD_HB_ERR,LOGL_NARROW_HB,LOGL_NARROW_HB_ERR,FWHM_NARROW_HB,FWHM_NARROW_HB_ERR,EW_NARROW_HB,EW_NARROW_HB_ERR,FWHM_BROAD_HB_1GAUSS,LOGL_OIII_4959,LOGL_OIII_4959_ERR,EW_OIII_4959,EW_OIII_4959_ERR,LOGL_OIII_5007,LOGL_OIII_5007_ERR,EW_OIII_5007,EW_OIII_5007_ERR,EW_FE_HB_4434_4684,EW_FE_HB_4434_4684_ERR,ALPHA_HB,ALPHA_HB_ERR,LINE_NPIX_HB,LINE_MED_SN_HB,LINE_REDCHI2_HB,LOGL_MGII,LOGL_MGII_ERR,FWHM_MGII,FWHM_MGII_ERR,EW_MGII,EW_MGII_ERR,LOGL_BROAD_MGII,LOGL_BROAD_MGII_ERR,FWHM_BROAD_MGII,FWHM_BROAD_MGII_ERR,EW_BROAD_MGII,EW_BROAD_MGII_ERR,FWHM_BROAD_MGII_1GAUSS,EW_FE_MGII,EW_FE_MGII_ERR,ALPHA_MGII,ALPHA_MGII_ERR,LINE_NPIX_MGII,LINE_MED_SN_MGII,LINE_REDCHI2_MGII,LOGL_CIV,LOGL_CIV_ERR,FWHM_CIV,FWHM_CIV_ERR,EW_CIV_2,EW_CIV_ERR,ALPHA_CIV,ALPHA_CIV_ERR,LINE_NPIX_CIV,LINE_MED_SN_CIV,LINE_REDCHI2_CIV,VOFF_BROAD_HA,VOFF_BROAD_HA_ERR,VOFF_NARROW_HA,VOFF_NARROW_HA_ERR,VOFF_BROAD_HB,VOFF_BROAD_HB_ERR,VOFF_NARROW_HB,VOFF_NARROW_HB_ERR,VOFF_BROAD_MGII,VOFF_BROAD_MGII_ERR,VOFF_CIV_PEAK_2,VOFF_CIV_PEAK_ERR,LOGBH_HB_MD04,LOGBH_HB_MD04_ERR,LOGBH_HB_VP06,LOGBH_HB_VP06_ERR,LOGBH_MGII_MD04,LOGBH_MGII_MD04_ERR,LOGBH_MGII_VO09,LOGBH_MGII_VO09_ERR,LOGBH_MGII_S10,LOGBH_MGII_S10_ERR,LOGBH_CIV_VP06,LOGBH_CIV_VP06_ERR,LOGBH,LOGBH_ERR,LOGEDD_RATIO,SPECIAL_INTEREST_FLAG,Separation,ICA_CIV_BLUESHIFT,ICA_CIV_EQW,RM_DIST_UNSCALE,RM_DIST_SCALE
1902,SDSSJ082928.79+401608.4,13.0,39.0,,0.0,,,1.65065,0.01796,0.020380000000000000,0.04228,0.01654,0.00042,-0.0038200000000000000,1.0,-26.2002213282118,0.0,0.0,2,12529.363791219600,3.86656166597037E+28,3.78836200418508E+28,30.4146875325755,7.95195,23.8471774153585,24.3752193388428,1399.81728045126,30.639278573588,0.107105712509961,,,,,,,127.369984,40.269003000000000,359.25339715635900,51.32587790950830,894,52615,524,082928.79+401608.4,127.36998748779300,40.269004821777300,1.64849996566772,894,524,52615,1048578,1,1,-26.2002213282118,46.5059379382417,0.0050593816541706400,0,0,0.0,-27.1093320127925,-1.0,0.0,-1.0,45.794130709200500,0.0050593816541706400,45.9411601853286,0.0174780095239768,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.726633325425800,0.0305867954603656,3152.51674263018,250.43802004338200,23.8112920438031,1.7630518321705400,43.7228784799414,0.034328476544303,3152.51674263018,294.11774621028300,23.6063105516082,2.18210047438815,3834.0966527577500,54.6924112934435,6.2160345653601100,-1.088992538409,0.0390423247574386,310,11.713301684116400,1.11801931220238,44.3931741248071,0.0343294793668321,3214.2490234375,204.340576171875,51.32587790950830,4.26066548567932,-2.14489331659593,0.278078510783498,281,10.143829372522100,1.19216383940226,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,2.54607890998489,133.92902761005000,359.25339715635900,53.4895875012435,0.0,-1.0,0.0,-1.0,8.784837131420390,0.0535095621591725,8.75438015807231,0.0690476386933922,8.849675843176360,0.0810967145624371,8.702973939479060,0.055990710245878,8.849675843176360,0.0810967145624371,-0.444108450052241,0,0.0116102763591791,606.009758121,127.268873835,844.447794781326,2.63567543306642
6463,SDSSJ090502.96+154553.0,12.0,36.0,,0.0,,,1.650998,0.026790000000000000,0.02556,0.02106,0.029230000000000000,0.007090000000000000,-0.0011100000000000000,1.0,-26.173539038832800,0.0,0.0,0,12532.6302551556,3.86756969674102E+28,3.78934560930973E+28,30.380123334947,7.952994,23.8126407990771,24.3407226324671,1292.92890310733,30.6286056578364,0.11849927815116300,,,,,,,136.262365,15.764731,765.529967700955,40.352786724652200,2435,53828,204,090502.96+154553.0,136.262359619141,15.7647314071655,1.65199995040894,2435,204,53828,1048578,1,1,-26.173539038832800,46.451432482959200,0.00813922215673912,0,0,0.0,-27.1372687588732,-1.0,0.0,-1.0,45.739625253918,0.00813922215673912,46.03015974631640,0.0188376228812608,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.884895063033100,0.0243254178643966,4477.92630491763,519.8854354357790,37.912771111422,2.43823499899865,43.867161488025,0.0311999646375227,4477.92630491763,359.115536675575,36.395857328422100,2.77916635113128,5398.057787818390,90.2948790479998,14.1418594772569,-1.44594358543373,0.0537736714861025,310,10.8974924422942,1.13752915875521,44.3683358653411,0.0366723521692975,4464.1142578125,312.3544921875,40.352786724652200,4.50093276222717,-2.30083088145216,0.263131423346204,280,9.01194453197644,1.06570148610993,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,76.5234695268809,186.879246850682,765.529967700955,80.126949731995,0.0,-1.0,0.0,-1.0,9.0481926947437,0.0389100800845223,9.03196651083538,0.100924911051913,9.120721541305530,0.0698406384069347,9.03545526899388,0.0615898546837945,9.120721541305530,0.0698406384069347,-0.769659603463929,0,0.0186999946328421,209.10240855800000,114.69145395700000,448.94368400800600,2.48333446061209
4951,SDSSJ092933.99+300240.8,10.0,86.0,11.0,133.0,26.0,8.6,1.6516540000000000,0.021420000000000000,0.0397,0.00225,0.052990000000000000,-0.01012,-0.0038,1.0,-26.841818951034400,0.0,1.0,2,12538.788118826700,3.86947001346992E+28,3.79119987724049E+28,30.9211037931966,7.9549620000000000,24.1912616785233,24.7194187301351,3092.22254179053,30.8959176227171,-0.0120110878975536,,,,,,,142.391663,30.044674,145.20195624688800,65.8211912300543,1939,53389,538,092933.99+300240.8,142.391662597656,30.044673919677700,1.64919996261597,1939,538,53389,1048579,1,1,-26.841818951034400,46.6956020294635,0.00293101350248293,0,0,0.0,-26.9118599748976,-1.0,0.0,-1.0,45.983794800422300,0.00293101350248293,46.1510984956518,0.0124909540346465,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.1885410209383,0.0200187837948356,6568.7653329122100,162.921818108726,44.2510484425442,2.24917077493082,44.1819883788425,0.0222297372467288,6568.63471248135,176.053595801579,43.5970520832226,2.36003379429459,6568.63471248135,80.8247204625452,4.79756006129878,-1.19188691711504,0.025990135812228,311,17.5905864100753,1.11746747019488,44.73237971126310,0.035147886773462,8492.59375,706.29541015625,65.8211912300543,5.56897878122561,-1.76839599255436,0.172122105903041,280,12.313199045659500,0.984179465232539,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-49.9289956147636,241.115339058599,145.20195624688800,240.68166855249400,0.0,-1.0,0.0,-1.0,9.37005297666867,0.0183714429186619,9.48686489443174,0.0215929689826466,9.60490299834876,0.0233508782160012,9.658162902212440,0.0725398281342713,9.60490299834876,0.0233508782160012,-1.00967151400287,0,0.0012867302547979700,416.268683696,151.515720092,653.167558724714,2.20758141302992
4953,SDSSJ092959.42+270541.6,9.0,112.8,8.7,163.0,20.0,12.533333333333300,1.651503,0.03306,0.01732,0.02565,0.0241,0.0101,-0.00121,1.0,-27.0290285440164,0.0,1.0,4,12537.3706384349,3.86903257902101E+28,3.79077304302344E+28,31.038951796683800,7.954509,24.3089745308799,24.8371142701901,4054.77053413429,30.970801459909900,-0.0325003630824086,,,,,,,142.497601,27.094903000000000,369.951954497296,34.995243711303100,1940,53383,120,092959.42+270541.6,142.497604370117,27.094903945922900,1.64680004119873,1940,120,53383,1048578,1,1,-27.0290285440164,46.793100583634700,0.00324536112688634,0,0,0.0,-26.7889625423916,-1.0,0.0,-1.0,46.0812933545935,0.00324536112688634,46.3613383241681,0.0101836405606122,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.1499600289079,0.0114177209220578,3132.82768082732,216.29728829838900,31.6675114770851,0.933568296343736,44.0980192460929,0.0205043801336835,4879.7819021063,298.96364623734300,28.1683693913334,1.55409739840075,4879.7819021063,72.8739890696515,3.95338677687866,-1.49795306292042,0.0273284227992143,311,19.3765442185133,0.959753260451621,44.640546135749400,0.0190479121110521,6459.78955078125,398.341796875,34.995243711303100,2.05675446206207,-2.28547077867177,0.157860551570898,280,14.832220882676300,1.12073689268342,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-502.05507893859400,161.074132828702,369.951954497296,106.979176709689,0.0,-1.0,0.0,-1.0,9.17235268216163,0.0248262377863345,8.89251969219645,0.0599912351255906,9.40720270384172,0.05325280767918,9.531946051073810,0.0538326420649794,9.40720270384172,0.05325280767918,-0.714472665324642,0,0.0113250291289267,1576.01259778,101.43455954300000,1815.5320798116100,3.55528746383425
8181,SDSSJ095648.48+534713.5,7.9,23.7,,0.0,,,1.6514230000000000,0.03044,0.0144,0.032260000000000000,0.024,0.0026900000000000000,-0.00107,1.0,-26.583096999637600,0.0,0.0,3,12536.6196664251,3.86880082905879E+28,3.7905469089364E+28,30.198810817522900,7.9542690000000000,23.6313619610488,24.1594925278791,851.813540788066,30.792428842158400,0.283091797431948,,,,,,,149.202005,53.787094000000000,155.908161509191,38.881997517840000,769,52282,69,095648.48+534713.5,149.202011108398,53.7870941162109,1.64760005474091,769,69,52282,3,2,1,-26.583096999637600,46.54579039866490,0.008110817693786740,0,0,0.0,-27.059374320258700,-1.0,0.0,-1.0,45.8339831696237,0.008110817693786740,45.817451772686000,0.0407664049996264,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.935935352658500,0.0216941365838466,3218.15859232307,450.46504701943800,34.8778802355297,2.09636220037509,43.9273861245969,0.0373129242810393,3218.15859232307,418.328064708389,34.1980114977956,2.91786472177367,5315.1462344551,66.7614067042705,21.7042640237993,-1.21110111412689,0.055596665649756,310,10.5270815529887,1.16385769812931,44.2325736601706,0.0554129179256897,3329.95776367188,528.529052734375,38.88199751784,6.47010376558445,-0.748428484742623,0.453410934397401,280,5.4689592230185800,1.04404512243831,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-29.9637137204052,187.735270244449,155.908161509191,133.831519756254,0.0,-1.0,0.0,-1.0,9.093249978832040,0.0478195801971177,8.79220646985288,0.121649246535542,8.892284450207720,0.113019708598122,8.668126889646980,0.13954478677646,8.892284450207720,0.113019708598122,-0.44686459666039,0,0.0129982881618266,915.79110412,140.57835598,1153.98867577135,2.80126209253298
6881,SDSSJ100723.31+162842.6,9.9,29.7,,0.0,,,1.6510050000000000,0.03347,0.01634,0.028070000000000000,0.01884,8E-05,-0.00095,1.0,-26.8614170797608,0.0,0.0,3,12532.695961367000,3.86758997367786E+28,3.78936539490705E+28,30.296581263953000,7.9530150000000000,23.7290992828445,24.2571819189662,1066.67945562785,30.903756874207600,0.289557304075054,,,,,,,151.847151,16.478509,134.495368444821,47.3872406307254,2587,54138,313,100723.31+162842.6,151.847152709961,16.478509902954100,1.64289999008179,2587,313,54138,2,1,1,-26.8614170797608,46.7318637623067,0.0028455166642409300,0,0,0.0,-26.8828847427718,-1.0,0.0,-1.0,46.020056533265500,0.0028455166642409300,46.242843180033,0.0156104766384786,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.9638920437204,0.0177185634335046,3135.9120898436,304.080396565183,24.4880131473213,0.9873786016212520,43.959055296176500,0.0188693218611782,3135.9120898436,350.45492833641500,24.2168026288551,1.24390304278621,5251.33654016113,65.0856213341099,4.334107235362720,-1.06121491584755,0.0238401490546182,310,18.539730270218500,1.25138283210066,44.69756103321980,0.033354096745537,4651.22705078125,310.704833984375,47.3872406307254,4.26500313965608,-1.57694098834055,0.221241324443329,281,10.226701789742400,1.10137037231438,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-204.800048445042,107.440319574417,134.495368444821,107.093909169074,0.0,-1.0,0.0,-1.0,9.19812473219221,0.0330810833911692,8.86275602553067,0.0842365953947568,8.985162809522540,0.0970854876516094,9.18384196585725,0.0586091839020329,8.985162809522540,0.0970854876516094,-0.353669592333382,0,0.0067388581999168400,1198.46658234,110.42108715100000,1437.6893344073200,3.21718352627181
5453,SDSSJ104031.38+362611.6,20.0,114.8,7.7,134.0,16.0,5.74,1.6503890000000000,0.03042,0.0225,0.02062,0.02899,-0.00027,-0.00643,1.0,-26.6041282377845,0.0,1.0,3,12526.914037762200,3.86580567205341E+28,3.78762432828301E+28,30.9133795757833,7.9511670000000000,24.3158855468941,24.8438975345104,4118.59934558167,30.8008413374171,-0.0536686065057994,,,,70.0,119 (rms),,160.130766,36.436579000000000,230.8408883869,36.3458484478709,2096,53446,563,104031.38+362611.6,160.130767822266,36.436580657959,1.64549994468689,2096,563,53446,1048578,1,1,-26.6041282377845,46.6178837185431,0.0097657419175512,0,0,0.0,-26.970688580866100,-1.0,0.0,-1.0,45.9060764895019,0.0097657419175512,46.16289612861010,0.0118661772511857,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,43.9382181331484,0.0115775799705204,3846.99735534601,388.582694743636,29.296012658874200,0.983101191383097,43.9382181331484,0.0211132890638623,3846.99735534601,509.510788082414,29.296012658874200,1.50099890550465,6050.0875876562200,72.9008197629088,17.2530195389805,-1.40777183446797,0.0266615485028484,311,13.6830292186882,1.0840181500413,44.4815432554639,0.0301809569427505,5128.71337890625,483.274169921875,36.3458484478709,3.28612634028412,-1.82369306002673,0.186939371257133,281,11.7201929414699,0.987066664897592,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-323.465765678675,161.01659132148,230.8408883869,160.497439638974,0.0,-1.0,0.0,-1.0,9.25044072584674,0.038004455150893500,8.98328202024525,0.0878713764731793,9.092011198985470,0.115198414153105,9.226351806057950,0.0820876478832609,9.092011198985470,0.115198414153105,-0.574498025559954,0,0.00796739472107136,1130.70191291,109.61335498700000,1369.9619183857,3.16582443773805
22,SDSSJ104852.52+003230.0,9.2,27.6,,0.0,,,1.650584,0.04427,0.00762,0.02254,0.029660000000000000,-0.0098,0.00081,0.0,-27.1044833085041,0.0,0.0,3,12528.7443056819,3.86637049273343E+28,3.78817546318859E+28,30.5048266234184,7.951752,23.6969791195532,24.2250134733263,990.525099751556,31.000983365705,0.236613273439833,,,,,,,162.218859,0.541673,605.223530269876,43.633080383480200,276,51909,348,104852.52+003230.0,162.218856811523,0.541673004627228,1.64619994163513,276,348,51909,1048580,1,0,-27.1044833085041,46.8361837269925,0.0110635633243206,0,0,0.0,-26.761816600528800,-1.0,0.0,-1.0,46.124376497951300,0.0110635633243206,46.2158931266882,0.0107081904512434,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.1757531376876,0.0119934900022827,4027.4830482654200,287.299808088448,30.867735345453,1.43611053960304,44.1709536453909,0.0210884461372771,4027.4830482654200,335.547113718464,30.5284866240297,2.08951121926437,4442.7034277373400,91.26713111584010,28.683669212666,-1.2929978078605,0.0334834038741075,311,23.449222807285100,1.15362573425376,44.64814153848230,0.0136788487905299,6162.5400390625,210.41357421875,43.633080383480200,1.94376562918744,-1.3035779970436,0.133133065962808,280,16.0899576786765,1.05454454340276,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-381.802240251584,187.701734334108,605.223530269876,106.88366022650700,0.0,-1.0,0.0,-1.0,9.1175580528895,0.0209998166705588,9.132255691262300,0.0622070895466127,9.267180871016450,0.0726902882597726,9.413942865102730,0.0301952240669677,9.267180871016450,0.0726902882597726,-0.53136768914154,0,0.00787818119895643,1016.47004157,131.94216478200000,1255.01534017227,2.95549969674889
653,SDSSJ105814.69+015230.6,17.0,51.0,,0.0,,,1.651886,0.01892,0.032310000000000000,0.01612,0.047510000000000000,0.01799,0.00535,0.0,-26.4491283405663,0.0,0.0,1,12540.966022279200,3.87014211447536E+28,3.79185569111581E+28,30.531895813329500,7.955658,23.9644836416796,24.4926672904035,1834.50669922703,30.738841378529800,0.0986907229764394,,,,,,,164.56124600000000,1.875186,904.392733752067,74.437465403446,508,52366,276,105814.69+015230.6,164.56124877929700,1.8751859664917,1.65450000762939,508,276,52366,1048580,1,0,-26.4491283405663,46.5274777808648,0.00812774194816868,0,0,0.0,-27.042584279081,-1.0,0.0,-1.0,45.815670551823600,0.00812774194816868,46.0785668273724,0.0168459669037553,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.167175147653300,0.0179682322878634,3946.3132971598700,251.403720146937,59.9047372028539,2.87911554696949,44.1607360405863,0.0218720502162277,3946.3132971598700,314.37641803505900,59.0231060519857,3.6973676529244400,6586.93582551423,157.802145538718,12.017866904695200,-1.69660217974711,0.0684792947100705,310,11.247771795671400,1.12972896998024,44.710637606012900,0.0328803913167768,7792.611328125,1377.2958984375,74.437465403446,6.60636472684359,-1.8088505120573400,0.314179767651374,281,10.018415506355800,1.2609220139908800,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,355.401164424233,133.73775296134200,904.392733752067,106.769153012054,0.0,-1.0,0.0,-1.0,9.26823258498019,0.0280603223988039,8.960218397615690,0.0554833323220548,9.05809886383452,0.069377931119714,9.54500644947665,0.153777142930368,9.05809886383452,0.069377931119714,-0.630991628087301,0,0.0100008381590169,116.168004759,185.911752136,346.73485527776600,1.73339943004126
5136,SDSSJ110041.31+315018.1,11.0,301.2,8.2,311.0,15.0,27.3818181818182,1.650453,0.01741,0.03455,0.02451,0.01761,-0.00091,0.00197,1.0,-27.1745946185012,0.0,1.0,1,12527.5147360944,3.86599104755873E+28,3.78780521211131E+28,31.383417496019100,7.951359,24.7348401061729,25.262859434658,10807.1566419755,31.0290278897038,-0.169005634060053,,,,194.0,213,0.277674388418746,165.172157,31.838363,262.949177464836,42.0543978697671,1990,53472,426,110041.31+315018.1,165.17214965820300,31.8383636474609,1.64900004863739,1990,426,53472,1048578,1,1,-27.1745946185012,46.8896178643727,0.0135062126100074,0,0,0.0,-26.694774787856900,-1.0,0.0,-1.0,46.1778106353315,0.0135062126100074,46.273536762783400,0.00839173639192126,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-999.0,-1.0,0,0.0,-1.0,44.1217831117207,0.0295963375128672,5061.58313731186,436.46348746055900,23.7903308219997,2.30100617899412,44.106461488689700,0.0306323232625587,5061.58313731186,356.673852978882,22.9656561556092,2.22233590034721,5124.60004677943,72.4698026285825,22.438839537879600,-1.48201181523564,0.064202879896989,310,20.8225240269282,0.91228883886251,44.729192380187900,0.032212031087731,4401.13720703125,296.5,42.0543978697671,3.1792262398687300,-0.624214244090356,0.0990061063842678,281,15.680475159625700,0.739057519622753,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,300000.0,-1.0,-186.757533583031,241.158418161973,262.949177464836,53.5087027456148,0.0,-1.0,0.0,-1.0,9.27471252465477,0.0285333987645203,9.3574780668645,0.0752027944471617,9.49881534310428,0.0617769024253767,9.15210430039574,0.0586847096931826,9.49881534310428,0.0617769024253767,-0.70956802384918,0,0.0225743875879125,249.761210221,99.5013162256,490.65460045748,2.60345984271095
